,y_train,y_train_pre,y_test,y_test_pre
0,99.7,99.71004157831979,97.9,98.61645199076109
1,99.9,99.91488725245009,95.4,94.83801400049236
2,99.9,99.89826867404528,99.9,99.9056247031939
3,99.3,99.34996998158778,99.9,99.96957744531109
4,98.9,98.89610961266743,99.7,99.91857581041188
5,99.8,99.83430152509283,99.5,99.66673866361528
6,99.8,99.79057053403466,99.7,99.76102295596192
7,99.9,99.89687307215482,99.8,99.88014835327306
8,99.9,99.90737655413139,99.9,99.83611990119111
9,96.8,96.7970522452423,87.3,88.47552027158254
10,99.9,99.90242495639892,96.9,97.56275360334908
11,97.4,97.40668931006473,,
12,99.8,99.74821346844499,,
13,99.4,99.41670785451629,,
14,99.9,99.91115255284478,,
15,99.8,99.81412261779639,,
16,97.8,97.79887792512469,,
17,92.5,92.49897193289564,,
18,99.8,99.7822174817552,,
19,99.8,99.67845817310678,,
20,98.0,97.99320450937056,,
21,100.0,99.99118237755016,,
22,100.0,100.01125309607359,,
23,99.6,99.61474263054038,,
24,99.9,99.9135949082885,,
25,99.4,99.39574864128512,,
26,99.9,99.87993760720686,,
27,65.5,65.50052827555575,,
28,99.9,99.8844862208112,,
29,99.9,99.84278775587497,,
30,100.0,100.0384582269712,,
31,99.4,99.39795900273359,,
32,97.8,97.79954143691268,,
33,99.9,99.92138514371432,,
34,97.6,97.60012872554452,,
35,99.7,99.86172942949125,,
36,99.5,99.4985194011512,,
37,87.0,86.99999817740223,,
38,99.3,99.30893827314158,,
39,100.0,99.9832255765497,,
40,100.0,99.90128523072886,,
41,99.8,99.79426014855797,,
42,99.9,99.91470493715161,,
