,y_train,y_train_pre,y_test,y_test_pre
0,99.8,99.85594619074497,99.9,99.96027358352673
1,97.6,97.59697817257018,99.9,99.87596510226695
2,99.5,99.49650733924355,99.7,99.87712181112778
3,99.8,99.67285121512616,97.4,98.05268492318334
4,99.9,99.86072324365456,97.8,95.84344932463557
5,99.4,99.37017425910139,99.7,99.77176194896242
6,100.0,99.96059569383125,97.8,96.96374068086874
7,100.0,99.97638294308456,99.8,99.86858209915502
8,99.3,99.40794168210255,99.4,97.15964885250668
9,99.9,99.88505429622633,95.4,92.89046765460503
10,96.9,96.89417787841413,99.8,99.83773858038147
11,100.0,100.00313865452641,,
12,99.5,99.49270664081263,,
13,99.9,99.93312376534197,,
14,99.4,99.40973769211115,,
15,98.0,97.99654158519303,,
16,99.8,99.80944614464542,,
17,99.7,99.72607870216581,,
18,96.8,96.8106127572202,,
19,99.9,99.89314824251912,,
20,100.0,99.91195732770026,,
21,65.5,65.50235154523465,,
22,99.8,99.80621099278406,,
23,99.9,99.89782308891348,,
24,87.0,86.99891122612271,,
25,97.9,97.90606860812733,,
26,99.9,99.88442541960194,,
27,92.5,92.49761906512686,,
28,99.9,99.87364978283281,,
29,99.8,99.72131000276468,,
30,99.8,99.8362327997005,,
31,99.9,99.89491376166953,,
32,87.3,87.29704266564846,,
33,100.0,100.01408280784268,,
34,98.9,98.8698257135145,,
35,99.6,99.5992632826605,,
36,99.3,99.31241082054983,,
37,99.9,99.93065078954282,,
38,99.9,99.87724366871156,,
39,99.9,99.9252265422804,,
40,99.7,99.81367158337434,,
41,99.9,99.94239608363593,,
42,99.9,99.93269518870879,,
