,y_train,y_train_pre,y_test,y_test_pre
0,96.9,96.9003137408701,99.9,99.85796880101941
1,99.8,99.84722518368186,87.3,89.37604068573343
2,100.0,99.85892226886911,99.7,99.85493115572362
3,92.5,92.50522459156771,99.8,99.8590982149255
4,99.7,99.69550653422499,99.4,99.1219813704864
5,100.0,99.8586162767539,97.6,99.85997782481077
6,99.5,99.51212416123045,97.8,99.74918163937843
7,96.8,96.79788503561805,99.8,99.80335908777505
8,99.9,99.85845146451751,99.9,99.84817324234363
9,99.3,99.30820914322946,100.0,99.85848237600095
10,100.0,99.85891441557153,99.4,99.56548477100765
11,99.9,99.85831983909242,,
12,99.9,99.85832665362551,,
13,97.4,97.3947329793387,,
14,99.9,99.78190998999008,,
15,99.9,99.8495673622806,,
16,98.0,97.99698042609626,,
17,99.9,99.85852981570821,,
18,99.8,99.84781134246708,,
19,97.9,97.90299694620809,,
20,99.9,99.85830909006731,,
21,99.5,99.5372629546046,,
22,87.0,86.99943830698165,,
23,99.3,99.85831009762849,,
24,99.8,99.85788635900758,,
25,99.6,99.59778631849045,,
26,99.4,99.41722917896624,,
27,99.8,99.85841654761091,,
28,99.9,99.85875581508432,,
29,99.7,99.858392825874,,
30,99.9,99.85843142422513,,
31,99.9,99.85454785487406,,
32,97.8,97.792850455566,,
33,98.9,98.90016283973502,,
34,99.9,99.85658846350711,,
35,99.7,99.85886325700258,,
36,65.5,65.49999778842341,,
37,99.9,99.85850052152071,,
38,99.8,99.79375184075893,,
39,95.4,95.39753764574805,,
40,99.9,99.85845962406168,,
41,100.0,99.85877367157958,,
42,99.8,99.85859139136878,,
