Quelle,Probennummer,Legierung,Prozessumfeld/-parameter,,,Scanstrategie,,,,,,,,,,,,,Pulvereigenschaften,,,,,,,,Bauteil QualitÑtskriterien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sonstiges,,
,,,Prozessparameter,,,Scanstrategie,,,,,,,,,Konturparameter,,,,Particle Size Distribution,,,,,,Pulverchemie,,Mechanische Eigenschaften,,,,,,,PorositÑt [%],,,Rauhigkeit,,,,Bauteilchemie,,,,,,,,,,,,,,Schmelzpool,,,,,
,,,Anlage,"Laserprofil [Gauss, Donut, etc.]",Laserdurchmesser [Êm],Laserleistung [W],Scan Speed [mm/s],HatchlÑnge [mm],Hatch distance [mm],Layerthickness [Êm],Pfadstrategie,LED [J/mm],ED [J/mm¸],Fokuslage [mm],Konturversatz [mm],FÅllschraffurversatz [mm],Konturscanspeed [mm/s],Konturleistung [W],Hersteller,Sonstiges,Particle size Distribution [Êm],d10 [Êm],d50 [Êm],d90 [Êm],Al [wt.%],Si [wt.%],E-Modul [MPa],Streckgrenze [MPa],Zugfestigkeit [MPa],Dehnung [%],HÑrte ,,Dichte [%],PorositÑt (Messung oben links)[%],PorositÑt (Messung unten rechts) [%],PorositÑt gesamt [%],Rautiefe 45¯ oben,Rautiefe 45¯ unten,Rautiefe 90¯,OberflÑchenrauhigkeit [Êm],Al [wt.%],Si [wt.%],Ni [wt.%],Fe [wt.%],Cu [wt.%],Mn [wt.%],Mg [wt.%],Ti [wt.%],Zn [wt.%],C [wt.%],Zr [wt.%],Mo [wt.%],Sn [wt.%],O [wt.%],x [Êm],y [Êm],z [Êm],Schutzgas,Heat treatment,Kommentare
1,15,AlSi10Mg,AconityLAB,Gauss defocused,140,400,2000,1.3,0.15,50,Unidirectional,0.2,26.66666667,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,16,AlSi10Mg,AconityLAB,Gauss defocused,140,500,1000,1.3,0.15,50,Unidirectional,0.5,66.66666667,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,17,AlSi10Mg,AconityLAB,Gauss defocused,140,500,1500,1.3,0.15,50,Unidirectional,0.333333333,44.44444444,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,18,AlSi10Mg,AconityLAB,Gauss defocused,140,500,2000,1.3,0.15,50,Unidirectional,0.25,33.33333333,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,19,AlSi10Mg,AconityLAB,Gauss defocused,140,300,1000,1.3,0.2,50,Unidirectional,0.3,30,,,,,,,,,,,,,,,,,,,,99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,20,AlSi10Mg,AconityLAB,Gauss defocused,140,300,1500,1.3,0.2,50,Unidirectional,0.2,20,,,,,,,,,,,,,,,,,,,,87.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,21,AlSi10Mg,AconityLAB,Gauss defocused,140,300,2000,1.3,0.2,50,Unidirectional,0.15,15,,,,,,,,,,,,,,,,,,,,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,22,AlSi10Mg,AconityLAB,Gauss defocused,140,400,1000,1.3,0.2,50,Unidirectional,0.4,40,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,23,AlSi10Mg,AconityLAB,Gauss defocused,140,400,1500,1.3,0.2,50,Unidirectional,0.266666667,26.66666667,,,,,,,,,,,,,,,,,,,,97.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,24,AlSi10Mg,AconityLAB,Gauss defocused,140,400,2000,1.3,0.2,50,Unidirectional,0.2,20,,,,,,,,,,,,,,,,,,,,92.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
