,Randomstate,RMSE,MAPE,MSE,Training RMSE
0,1,0.2390705547059973,0.0018545973650422461,0.057154730127433245,1.812530205454685
1,2,0.9308038412645525,0.006862468580734995,0.8663957909128464,1.3944990244645918
2,3,0.7893704000022654,0.004492748810348012,0.6231056283997366,1.3246967916138412
3,4,6.238868163797369,0.03130983044330448,38.92347596524435,1.1308198073127524
4,5,1.7451743402975637,0.009685803564770687,3.0456334780330367,1.250205418458287
5,6,2.688656767285184,0.013150650826718596,7.228875212268417,1.2631633100121737
6,7,1.0553989451514634,0.007096974284585616,1.1138669334268216,1.961095107093821
7,8,4.7690797320771665,0.02026171698046465,22.74412149090922,1.3920871131608699
8,9,0.8277264514257748,0.005181747779418271,0.6851310783899056,1.2019536458896403
9,10,6.465061552746574,0.037319153384537646,41.797020880801945,0.8820272200265545
10,11,1.4164342776232577,0.0065809376013817415,2.00628606282612,1.7799757125577709
11,12,0.44875160636675676,0.00260170709640973,0.20137800421674462,0.9809530565250475
12,13,1.3060933094705218,0.007868915578757511,1.7058797330436604,1.1114740445491889
13,14,1.1890552782153456,0.006494132299451216,1.4138524546517728,1.3563993702361434
14,15,5.428485992768144,0.028320296523205567,29.468460173679944,1.098548334599649
15,16,3.6170760603116565,0.017940228648971154,13.083239226079694,1.234722069929431
16,17,3.378060891991316,0.019158285745465787,11.411295390001165,1.0700707606488569
17,18,0.5974124715523336,0.0039629512178177605,0.3569016611662677,1.2616203784337285
18,19,5.584418412331325,0.02700270326258797,31.185729003985116,1.0956609384310814
19,20,0.6666215623743704,0.004474359857619707,0.4443843074224466,1.714295714181636
20,21,1.7806539687808407,0.008072715870565994,3.170728556534959,0.7549091364259106
21,22,0.430937787749456,0.002526573284243446,0.18570737691039518,1.2765712367191804
22,23,1.0746403429614537,0.0056760206837072206,1.154851866720311,0.900019179283043
23,24,0.4519197480813295,0.0024990722572534063,0.20423145870589235,1.1661277439083078
24,25,1.6259818277699778,0.009446862034825863,2.6438169042381974,1.4454225027491663
25,26,5.919012106411494,0.03388996888718495,35.034704315845836,0.9060250221221846
26,27,3.890112500323786,0.024494007779293638,15.132975265175379,1.0485761620180098
27,28,3.286664426436032,0.021118412573023267,10.80216305200009,1.2863167896728165
28,29,0.4493953682920922,0.0022891734889310036,0.20195619704238518,1.2657423625826183
29,30,6.5327583088747065,0.03734303013172379,42.67693112217152,0.9687986351788339
30,31,1.239129422488605,0.008313150086424182,1.5354417256769437,1.2775534253852752
31,32,1.2049887163826531,0.006188946835831427,1.451997806609514,1.3663595673652302
32,33,0.4706009509377192,0.003187405990799115,0.2214652550234856,1.3160314832647457
33,34,0.9598866003072515,0.004944737922809303,0.9213822854494133,1.5770434633305386
34,35,0.5479161549002423,0.003820316308341125,0.30021211280066623,1.4598782020682775
35,36,4.850060729643128,0.02718706402123653,23.523089081226434,0.9324767176248174
36,37,1.206856361834061,0.006374211832670837,1.456502278099346,1.2485553124518762
37,38,0.4707017800299403,0.002787352125776271,0.22156016572335427,0.7960723626557105
38,39,0.8523124960833716,0.005339069710056077,0.7264365909798673,1.8341669199414337
39,40,3.187576853668532,0.017924109052014178,10.160646198043377,0.6723159839614331
40,41,0.578449323030543,0.003674042682659151,0.3346036193144934,1.2928932164215003
