,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
31,0.007003188133239746,0.001670978570423568,0.0009006023406982422,0.00030021658013401696,tanh,"(1, 1)",lbfgs,"{'activation': 'tanh', 'hidden_layer_sizes': (1, 1), 'solver': 'lbfgs'}",-5.235791024771528,-2.3954592723069337,-1.6702482840572481,-2.0908600762606433,-5.457868402588527,-1.62097156384578,-2.375446830483627,-2.910995002912683,-2.1910225535059134,-16.50236315577241,-4.245102616650529,4.28678528885573,20
27,0.006602597236633301,0.0020068090628231816,0.0012001752853393554,0.0003986550919958325,tanh,"(1,)",lbfgs,"{'activation': 'tanh', 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}",-5.23579367268072,-2.3954414807713493,-1.6702568167082592,-2.0908820259113665,-5.457856331424286,-1.6209680347301705,-2.3754655181976188,-2.910989923375116,-2.191073320451171,-16.502340631048853,-4.245106775529891,4.286774846655776,21
13,0.31927192211151123,0.3096837715940453,0.0010019779205322266,4.607342654869522e-06,identity,"(1, 1)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (1, 1), 'solver': 'lbfgs'}",-1.9687269440909883,-2.266615141418689,-8.668143684229674,-2.576516348743805,-3.0856006416232966,-2.7848084648039952,-1.7601610288206588,-5.498734403787035,-1.7398461946548964,-12.890225208321617,-4.323937806049466,3.5159565838895106,22
2,0.11272478103637695,0.07769934786962958,0.0007005929946899414,0.00045864607840761455,relu,"(30,)",lbfgs,"{'activation': 'relu', 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-2.229513218885215,-0.6144099384947125,-9.101574458182359,-1.4604421826056277,-4.09465680011617,-3.5111660935037543,-0.3819879574320706,-7.338660330712299,-1.7193250471611174,-13.133090757305302,-4.358482678439863,3.9860578084517067,23
9,0.11703023910522461,0.09012256160691358,0.0012990713119506836,0.00045770585233889427,identity,"(1,)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}",-1.9692417207780721,-2.2662617016451816,-8.660517122884862,-2.5764213105407077,-3.085598227979479,-3.1643227410940775,-1.760310584706156,-5.498141857229747,-1.739702222050278,-12.890922925174658,-4.361144041408322,3.5003593375057878,24
0,0.12112741470336914,0.0867114108771617,0.00039997100830078123,0.0004898625919731006,relu,"(1,)",lbfgs,"{'activation': 'relu', 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}",-1.9688814950897862,-2.26657254601723,-8.667884005823913,-2.5763030182693263,-3.0856535963649816,-3.164333705831916,-1.7602218494953248,-5.498837964370829,-1.739860653661594,-12.890807538536556,-4.3619356373461455,3.5012636391900824,25
12,0.029207348823547363,0.004894208802447865,0.0012002706527709961,0.0006000517553117445,identity,"(100,)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.96876329032133,-2.2666237270806247,-8.668522595569888,-2.5763682741814007,-3.0855825530428476,-3.164334062980746,-1.760246072363211,-5.498720977268829,-1.7398249062347135,-12.890702799176434,-4.361968925822002,3.5013180107666195,26
11,0.0224057674407959,0.004692300798955273,0.001399993896484375,0.0011998102439394818,identity,"(30,)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-1.9687702610910716,-2.2666092548423022,-8.668885230596391,-2.576333795243367,-3.085609697472956,-3.1643468155219874,-1.7602724542257784,-5.4987111903508366,-1.73982886579998,-12.890685619743246,-4.362005318488792,3.5013565786274707,27
14,0.020806598663330077,0.004071254526332716,0.0006004810333251953,0.0004902979992155054,identity,"(10, 10)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-1.9687611445945843,-2.2666202171322234,-8.668933600234341,-2.576331366040779,-3.085641425955337,-3.164354434687335,-1.760293378873887,-5.498736722381786,-1.739828248105447,-12.890671539087233,-4.362017207709295,3.5013570926683415,28
15,0.0336090087890625,0.004175981074092539,0.0003989219665527344,0.0004885787611632103,identity,"(30, 30)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.9687525507017618,-2.2666201876609082,-8.668977901065197,-2.576332745842539,-3.0856027033077895,-3.1643646809643564,-1.760296280781881,-5.4987322987557965,-1.7398253000626187,-12.89067052249236,-4.362017517163521,3.5013637358542327,29
17,0.6627492666244507,0.03422853954431307,0.001701021194458008,0.0006398847056640585,identity,"(100, 100, 100, 100, 100)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (100, 100, 100, 100, 100), 'solver': 'lbfgs'}",-1.9687510963161108,-2.266618917133578,-8.66900744534094,-2.5763228483124645,-3.0856013621205793,-3.1643518607519634,-1.7602949397035368,-5.498738156271022,-1.73983178271238,-12.890671198315438,-4.362018960697801,3.5013685066235563,30
10,0.018808650970458984,0.0033402342302659557,0.0014996290206909179,0.0012000861096224781,identity,"(10,)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-1.9687522023039308,-2.266634261896472,-8.669066444186242,-2.5763296718621937,-3.0855928486884188,-3.1643534500025967,-1.7603059573996547,-5.498721358332978,-1.7398251151861643,-12.890702916777439,-4.362028422663609,3.5013815394294383,31
16,0.16523566246032714,0.04168718966509732,0.0015027046203613282,0.0006723756966892731,identity,"(100, 100)",lbfgs,"{'activation': 'identity', 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.968746088511224,-2.26661038835085,-8.668991222959091,-2.5763415901555025,-3.0856065636813854,-3.1643617258736265,-1.7602989347596811,-5.498852437981492,-1.7398330042687669,-12.890669806801762,-4.362031176334338,3.501368863980768,32
6,0.18074555397033693,0.10397203789414922,0.000699925422668457,0.000458210179127025,relu,"(30, 30)",lbfgs,"{'activation': 'relu', 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-2.0790672281379012,-1.78009137150634,-9.276297116282324,-2.182699735045339,-4.149826533884411,-3.5824328589044954,-1.9922155959411287,-3.8939290725247435,-2.093873494633224,-12.757095537083755,-4.378752854394366,3.505490427323102,33
3,0.1908433437347412,0.13221520627057848,0.0007007122039794922,0.0004587269869245336,relu,"(100,)",lbfgs,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-2.742881650999083,-1.9397866323882917,-8.080720118485774,-2.1959623418962493,-2.602094611200611,-3.262406630551911,-1.34673138729033,-7.6876413721092165,-1.7181596792152685,-13.188180608008691,-4.476456503214543,3.6909039683567144,34
5,0.09922196865081787,0.03250024364211439,0.0005001544952392579,0.0005001545475190464,relu,"(10, 10)",lbfgs,"{'activation': 'relu', 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-3.601479747580139,-2.284424995220013,-9.676674316498007,-1.049785145189481,-2.875866836711026,-3.245488504446823,-1.809151215454524,-6.478810768308236,-2.200055760189041,-12.752164500350434,-4.597390178994772,3.6480012556101125,35
1,0.05111134052276611,0.01905377921278142,0.0006001710891723633,0.0004900380453740182,relu,"(10,)",lbfgs,"{'activation': 'relu', 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-1.8258392598518385,-1.3351075562234012,-8.668790805821427,-2.6127678704470303,-3.4151334713784944,-3.459681636597719,-2.460261316261363,-5.498676578083811,-4.3398327342366,-12.890686531247255,-4.650677776014893,3.4018739589067497,36
