,Duration [s],Average Interlayertemperature [°C],Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm]
Mean Permutation Importance (MPI),0.023958729559428744,0.02108258578341654,0.01730846079585819,0.017054052006593285,0.015173819089316675
MPI Standart Derivation,0.01227453193917463,0.004715505265351247,0.008078131527043512,0.004648592615542871,0.003935053641538949
