,Laser Power [W],Duration [s],Scan Speed [mm/s],Average Interlayertemperature [°C],Hatch Distance [mm]
Mean Permutation Importance (MPI),2.888244836988804,0.9876558848353861,0.7334053382055878,0.5360051597675706,0.3885032063673069
MPI Standart Derivation,1.5529114612449344,0.6364520020584625,1.102822706549145,1.049919582962948,0.3561725672880194
