,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),9.070858426714317,3.7703612704492957,3.4131758363468583,1.6990082356009182,-0.285585643894769
MPI Standart Derivation,2.150399592504026,2.590740397588799,2.5603019193975642,1.169264618900666,0.29684345698590064
