,Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),3.3162526454108052,2.352301757055724,1.782572481903255,1.3605472340737317,0.057635302333081014
MPI Standart Derivation,1.2079470827301988,1.817263239578017,1.0817982601826814,0.8003135656907148,0.2166761211240347
