,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),3.133591470971723,0.8665845901023899,0.7122600882728588,0.6975353924483927,0.37096005063342924
MPI Standart Derivation,4.13279160873132,0.23289849445043562,0.46551539379273027,0.4856590709516425,0.14384952035969698
