,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),0.764821455622874,0.48249307360503413,0.4795711281385879,-0.11554881510145146,-0.1565542744803077
MPI Standart Derivation,0.6384198779629086,0.5961508029573623,0.5804005417698844,0.08330963238614092,0.09413984487593548
