,Laser Power [W],Scan Speed [mm/s],Duration [s],Hatch Distance [mm],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),3.0265459436038697,1.9993963603947444,1.3906527897274854,0.914032935049788,0.20758741546751322
MPI Standart Derivation,1.6348966699479799,1.2374246312249355,0.9817218699766552,0.4827680800789086,0.3258834659402324
