,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),8.119796085631979,5.032240398809093,4.4876649792360315,3.2777585873502906,2.3017469562392034
MPI Standart Derivation,3.4440019665110997,2.7936928322153154,2.937038626008729,2.180905056929126,1.8118637520038112
