,Laser Power [W],Hatch Distance [mm],Average Interlayertemperature [°C],Scan Speed [mm/s],Duration [s]
Mean Permutation Importance (MPI),0.7742437461572682,0.6636365120215705,0.3273067062013091,0.10754432534355747,0.054664306150517
MPI Standart Derivation,0.5545695906222462,0.33057646018247466,0.14059939511780697,0.21738224077385274,0.09273894832451704
