,Laser Power [W],Duration [s],Average Interlayertemperature [°C],Scan Speed [mm/s],Hatch Distance [mm]
Mean Permutation Importance (MPI),2.7256651529857194,0.36900784852554575,0.3225763845645987,-0.4537583324704235,-0.5595858240474623
MPI Standart Derivation,4.266664167572445,0.5774624366501482,0.43134731737449156,0.28866462857616193,0.321987601361181
