,Scan Speed [mm/s],Hatch Distance [mm],Laser Power [W],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),2.269490011941902,1.8693001625528407,1.33749971644568,1.331232171961535,0.4272053897544435
MPI Standart Derivation,0.7973076339000453,0.7300967917987855,0.5971898382800509,0.3580021959561236,0.22954890925401988
