,Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),3.3932774530508154,3.11927681817826,2.906181719094828,0.5871333005795597,0.26417232793112894
MPI Standart Derivation,1.1496134389635713,1.8286874860785036,0.7929808746928165,0.3257071539732504,0.17863579061474844
