,Laser Power [W],Duration [s],Scan Speed [mm/s],Hatch Distance [mm],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),3.4939373276159413,2.0602271838466253,1.5671700879065473,1.104106945233217,0.7913770906949487
MPI Standart Derivation,1.440919174759401,0.9646537115426123,1.1586522903937755,0.4362556336760152,0.8737646368465474
