,Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),2.395257236946178,0.5542977360228176,0.544298187093323,0.5352551977698918,-0.26866371389470334
MPI Standart Derivation,1.0504711051721392,1.5698033730569227,1.0971085962714073,0.3966142547964082,0.44448338309439944
