,Scan Speed [mm/s],Laser Power [W],Hatch Distance [mm],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),1.56305069296259,1.4487402135542515,0.9435568976193499,0.39776620129887585,0.31150192610537103
MPI Standart Derivation,0.7831386912363936,0.8959794941903755,0.8637002080904823,0.2591014900817851,0.23411954295187828
