,Laser Power [W],Average Interlayertemperature [°C],Scan Speed [mm/s],Hatch Distance [mm],Duration [s]
Mean Permutation Importance (MPI),3.5036185589757793,1.7303494101459678,1.3777614323111818,1.3509969056067077,-0.01872464726249404
MPI Standart Derivation,1.6134890065586436,0.7823960079587629,1.3210091200577907,0.9125897048818279,0.12060590920327154
