,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),4.301824764303197,2.9102397082313423,2.5809009051152016,0.3383718652675948,0.28683657591347683
MPI Standart Derivation,2.0711414850951293,1.492919997000219,0.8239234870227201,0.23367605746050815,0.1967689486469109
