,Laser Power [W],Hatch Distance [mm],Average Interlayertemperature [°C],Scan Speed [mm/s],Duration [s]
Mean Permutation Importance (MPI),2.0763886077250997,1.99723553767886,1.2454782548774679,1.0978621509000512,1.0828915598144409
MPI Standart Derivation,1.3303480997259003,0.8526989566565769,0.6852533618503576,1.134690032690892,0.797825740980208
