,Duration [s],Hatch Distance [mm],Scan Speed [mm/s],Laser Power [W],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),6.665717637817287,5.795339422249267,4.1106164795353655,3.8452627650311912,2.6054791544035805
MPI Standart Derivation,1.5193646624657593,1.7887606537780871,1.1909186298962566,2.2067695932979787,1.1108471821285342
