,Hatch Distance [mm],Laser Power [W],Scan Speed [mm/s],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),0.25667234132240785,0.24680348131345514,0.18724725987749286,-0.34698458989290326,-0.36960994646563794
MPI Standart Derivation,0.3940521599432601,0.5670638778914766,0.26968014908106713,0.3879263839072178,0.18078543774917205
