,Laser Power [W],Average Interlayertemperature [°C],Duration [s],Hatch Distance [mm],Scan Speed [mm/s]
Mean Permutation Importance (MPI),0.2247836126009509,0.12106221262718168,0.06269530335159866,0.031202759955205158,-0.022331549533330487
MPI Standart Derivation,0.30590151928818293,0.07065677052067462,0.1334794489884555,0.07198790451298301,0.06378522803291432
