,Laser Power [W],Scan Speed [mm/s],Duration [s],Average Interlayertemperature [°C],Hatch Distance [mm]
Mean Permutation Importance (MPI),4.816067150154015,2.052625427427171,2.0312203239784457,1.621564633729153,1.0617608282081632
MPI Standart Derivation,3.326481613556545,1.8284945159659363,1.1066291024759785,0.47793351011757196,0.7870468447809787
