,Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),2.9738663547858097,1.1201636049652317,1.0043606143088626,0.3877054693258969,0.07753090762177835
MPI Standart Derivation,1.61388861784739,0.9102254341697387,0.8704325952370959,0.3818530386883148,0.3162806805315366
