,Hatch Distance [mm],Duration [s],Laser Power [W],Average Interlayertemperature [°C],Scan Speed [mm/s]
Mean Permutation Importance (MPI),0.03297447908271514,-0.9572551600363373,-1.5272883624975782,-1.9330071306867849,-2.647958676846555
MPI Standart Derivation,0.25744133315950996,1.7086859390890514,0.886644515951198,1.3463882655950745,1.1629014276847771
