,Scan Speed [mm/s],Laser Power [W],Duration [s],Hatch Distance [mm],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),2.00872036744105,0.9404737593455131,0.574040552666393,0.3031638560779905,0.24966582430475093
MPI Standart Derivation,1.1179740521791752,0.7452948470280697,0.47229622757278994,0.5882161753465759,0.16813999017689896
