,Laser Power [W],Average Interlayertemperature [°C],Hatch Distance [mm],Scan Speed [mm/s],Duration [s]
Mean Permutation Importance (MPI),2.8916625375053497,1.686067309139827,0.5323012007462578,0.3035606161964615,-0.39974584118471285
MPI Standart Derivation,3.355581570054627,1.5063085321575358,0.4489119873608745,0.6668668082279984,0.41604228017771117
