,Average Interlayertemperature [°C],Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Duration [s]
Mean Permutation Importance (MPI),7.461897217416735,3.879367234526038,3.002296888457242,2.535587099354674,-0.2438265519128789
MPI Standart Derivation,3.8270046151817323,2.0782377171880837,1.4648001070052246,1.9120138089282392,0.34896330643616347
