,Scan Speed [mm/s],Laser Power [W],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),0.8525287624343522,0.5012675169533646,0.0015575555944165116,-0.5995758487518869,-0.9132257449206314
MPI Standart Derivation,1.3040740062618414,1.1679213662887646,0.2671312133760762,0.2978446574333168,0.4604996837632369
