,Laser Power [W],Average Interlayertemperature [°C],Scan Speed [mm/s],Hatch Distance [mm],Duration [s]
Mean Permutation Importance (MPI),9.253623602872995,4.280351948166861,4.091238175421743,0.8455788423705519,0.2282443668339625
MPI Standart Derivation,6.448206415627429,4.4995730765287805,4.346011378977107,0.9384032481492511,0.3286020736141738
