,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),4.294225033295618,3.615497844842494,2.2188228038031155,0.5084528418072751,0.33776464526146294
MPI Standart Derivation,2.849752583935822,1.6459474312803766,1.80114806323779,0.6235688377366927,0.33434988600751814
