,Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),4.799689804290156,2.5034483397048057,0.6355011725567572,0.3315637863558372,-0.41616725791515596
MPI Standart Derivation,2.047018097149902,1.8303830787710917,0.7401672931413209,0.606156243070353,0.4273040198894037
