,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),1.7295191211232939,1.361756221661215,0.7923610183318743,-0.6376371073429089,-1.00097982784917
MPI Standart Derivation,1.1307409512714282,1.3812743757179842,1.148961696439055,1.318027871732541,0.9425456653163831
