,Duration [s],Laser Power [W],Average Interlayertemperature [°C],Hatch Distance [mm],Scan Speed [mm/s]
Mean Permutation Importance (MPI),3.5147683218208265,2.879466816023972,1.6843439618828433,0.9762395092668351,0.5850451989287802
MPI Standart Derivation,2.2018286556483186,0.8716354817994724,1.1010368194122195,1.5511880390978834,0.7811248681331739
