,Scan Speed [mm/s],Laser Power [W],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),2.4834176628042623,1.114994978227507,0.6363155452441357,0.47234609513596193,0.17307675812400378
MPI Standart Derivation,1.756397959321168,0.75723002203596,0.8229474488401254,0.1498803184042634,0.2519765630107939
