,Laser Power [W],Duration [s],Scan Speed [mm/s],Average Interlayertemperature [°C],Hatch Distance [mm]
Mean Permutation Importance (MPI),3.9560906443082375,2.897177027871497,1.3541811564749393,1.0293917035717448,0.6051796963244015
MPI Standart Derivation,2.1885975268290196,2.0511616152936036,1.0143066935272396,0.7693987377406633,0.6767903206803084
