,Laser Power [W],Hatch Distance [mm],Duration [s],Scan Speed [mm/s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),3.4132856583784372,1.0393558896032211,0.950239827475243,0.8144849185182991,0.3028287910919199
MPI Standart Derivation,3.498583316381985,0.44656769678565045,0.3919770717668352,0.5417329933744,0.1091129621211944
