,Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),3.394627637495133,1.3266753653047556,0.7629364782179127,0.25355850341221026,0.2119550183772276
MPI Standart Derivation,2.6719526943337324,0.7864605806291677,0.7750354322618006,0.14242861249877348,0.12705222217369783
