,Laser Power [W],Hatch Distance [mm],Average Interlayertemperature [°C],Scan Speed [mm/s],Duration [s]
Mean Permutation Importance (MPI),5.242237568382091,4.279780938081962,3.232031630933505,3.1509673299885326,1.6755253580561442
MPI Standart Derivation,0.8283218469892133,1.3315466238037044,1.122933713501452,2.0585527865966653,1.4709693974874223
