,Laser Power [W],Scan Speed [mm/s],Average Interlayertemperature [°C],Hatch Distance [mm],Duration [s]
Mean Permutation Importance (MPI),4.672444287985401,4.282527281194406,1.0691320687223418,0.7782911385282784,0.17277923132947043
MPI Standart Derivation,4.693825843100735,3.6421979730723493,0.4664422169612357,0.3781119851994101,0.4441142440309443
