,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),3.570085692978891,1.889049807125178,0.8039001098304775,-0.12523902399570846,-0.7189464932761452
MPI Standart Derivation,2.1371147093646714,1.9656092575624917,0.7218845832286754,0.5524090219793345,0.638580551597601
