,Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),2.666305575825502,0.3917264857843195,0.38266726855964694,0.03686061372586325,0.026314163409877963
MPI Standart Derivation,2.8294484889727856,0.21919618811358185,0.4653655297139755,0.02037341339765889,0.05173977464889569
