,Scan Speed [mm/s],Laser Power [W],Average Interlayertemperature [°C],Hatch Distance [mm],Duration [s]
Mean Permutation Importance (MPI),2.2405111783615204,1.4933343087279283,1.3383350676576606,0.028986055186982308,-0.045774433848589986
MPI Standart Derivation,1.820957058918518,1.6308137526230275,0.8445884349635752,0.30868572658552396,0.35899225876986823
