,Laser Power [W],Average Interlayertemperature [°C],Scan Speed [mm/s],Duration [s],Hatch Distance [mm]
Mean Permutation Importance (MPI),3.959083505038719,1.1945722875200828,1.0625819897804807,0.9250416036313973,0.5956259709770222
MPI Standart Derivation,1.6526963177661684,0.6422784286973502,1.162945296740337,1.079756586679135,0.6553672410070114
