,Laser Power [W],Average Interlayertemperature [°C],Scan Speed [mm/s],Duration [s],Hatch Distance [mm]
Mean Permutation Importance (MPI),2.171571923557101,1.1232457385546613,0.8919846998137985,0.4497103217213366,0.22147450721655826
MPI Standart Derivation,1.1118031232343126,0.886819847524843,0.6599157128649633,0.4242622681969041,0.13949240659673387
