,Laser Power [W],Average Interlayertemperature [°C],Scan Speed [mm/s],Duration [s],Hatch Distance [mm]
Mean Permutation Importance (MPI),3.63360568693985,1.3201981940678114,0.9820814200962611,0.7833115900762988,0.4332505229200443
MPI Standart Derivation,1.4303626453905047,0.9131536388496198,0.8407827319167278,0.6254858447506971,0.7033974542477703
