,Scan Speed [mm/s],Laser Power [W],Duration [s],Hatch Distance [mm],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),2.690420801950824,2.510037105671518,0.17034408274791715,-0.13703818176682528,-0.1765393586643121
MPI Standart Derivation,2.269377470519036,2.9185102476064135,0.3307163888018161,0.11943923206432222,0.16745924897747533
