,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),0.8128560747621464,0.40013930984446433,-0.08134128229124113,-0.11777688313297877,-0.259087988156099
MPI Standart Derivation,0.873701131822182,0.4415227156176796,0.20430152495916476,0.254260449440102,0.14441619330559885
