,Scan Speed [mm/s],Hatch Distance [mm],Laser Power [W],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),3.5294018608735533,1.7746878388218237,1.7575623158583962,0.21848031744871488,0.02616750252521511
MPI Standart Derivation,2.6038433850746845,2.173208651152235,1.031752461271852,0.21876163715893418,0.1497775586951349
