,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),2.5089270517047217,2.0425580701957715,1.6370699317132322,1.1354588763872995,0.6131883829615422
MPI Standart Derivation,1.2159192553457674,2.087383160893436,1.1130571827933262,0.6660143021457199,0.46017577442223095
