,Hatch Distance [mm],Laser Power [W],Average Interlayertemperature [°C],Duration [s],Scan Speed [mm/s]
Mean Permutation Importance (MPI),2.6402683869893546,2.5520631400295204,0.9215069605410108,0.7997864931753217,0.16622639732954253
MPI Standart Derivation,1.6729054193720656,2.630235320640994,0.9871615066860193,0.5491019554690094,0.1770613942656096
