,Average Interlayertemperature [°C],Laser Power [W],Hatch Distance [mm],Scan Speed [mm/s],Duration [s]
Mean Permutation Importance (MPI),2.8830092460134074,1.9170009448886625,1.3282327575051005,0.7348103549207856,0.4164670616113008
MPI Standart Derivation,0.6790445862439228,1.939013219045303,1.0183366140705656,0.34051331628161313,0.4195782211110241
