,Laser Power [W],Scan Speed [mm/s],Duration [s],Hatch Distance [mm],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),4.524543447123138,3.8769497051679904,3.2047938012151644,2.5580007404959293,1.5948097526688094
MPI Standart Derivation,3.584177445831673,2.547022488779368,3.3011470978558375,2.6427024686323666,2.961975857679937
