,Scan Speed [mm/s],Laser Power [W],Hatch Distance [mm],Duration [s],Average Interlayertemperature [°C]
Mean Permutation Importance (MPI),1.7740144739785764,0.4641544863670047,-0.7271680189177796,-0.8230859191623953,-1.6886900756094867
MPI Standart Derivation,1.9210395819602526,1.1962760687943021,1.0662296091689807,1.0341413180410135,1.204500866397197
