,Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Average Interlayertemperature [°C],Duration [s]
Mean Permutation Importance (MPI),1.3536331538176571,0.79948226378812,0.7557597513538696,0.41128875529815007,0.006877999623031598
MPI Standart Derivation,0.9305209959501602,0.471541077022878,0.618228478498502,0.15913630923040858,0.05650612638993758
